MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice,SalePriceLog,ExteriorMat,HouseFin,ExteriorStyle
60,RL,65.0,8450,NA,Reg,Inside,CollgCr,Norm,1Fam,2.0Story,7,5,2003,2003,Gable,BrkFace,196.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,856,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,RFn,2,548,Y,0,61,0,0,0,0,NA,0,WD,Normal,208500,12.247694320220994,VinylSd,Finished,Siding
20,RL,80.0,9600,NA,Reg,FR2,Veenker,Feedr,1Fam,1.0Story,6,8,1976,1976,Gable,None,0.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,1262,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,460,Y,298,0,0,0,0,0,NA,0,WD,Normal,181500,12.109010932687042,MetalSd,Finished,Siding
60,RL,68.0,11250,NA,IR,Inside,CollgCr,Norm,1Fam,2.0Story,7,5,2001,2002,Gable,BrkFace,162.0,Gd,Gd,PConc,Gd,TA,Mn,GLQ,Unf,920,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,Y,0,42,0,0,0,0,NA,0,WD,Normal,223500,12.31716669303576,VinylSd,Finished,Siding
70,RL,60.0,9550,NA,IR,Corner,Crawfor,Norm,1Fam,2.0Story,7,5,1915,1970,Gable,None,0.0,TA,Gd,BrkTil,TA,Gd,No,ALQ,Unf,756,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,Y,0,35,272,0,0,0,NA,0,WD,Abnorml,140000,11.84939770159144,Wood,Finished,Shingle
60,RL,84.0,14260,NA,IR,FR2,NoRidge,Norm,1Fam,2.0Story,8,5,2000,2000,Gable,BrkFace,350.0,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,1145,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,836,Y,192,84,0,0,0,0,NA,0,WD,Normal,250000,12.429216196844383,VinylSd,Finished,Siding
50,RL,85.0,14115,NA,IR,Inside,Mitchel,Norm,1Fam,1.5Story,5,5,1993,1995,Gable,None,0.0,TA,Gd,Oth,Gd,TA,No,GLQ,Unf,796,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,Unf,2,480,Y,40,30,0,320,0,0,Fence,700,WD,Normal,143000,11.870599909242044,VinylSd,Finished,Siding
20,RL,75.0,10084,NA,Reg,Inside,Somerst,Norm,1Fam,1.0Story,8,5,2004,2005,Gable,Stone,186.0,Gd,Gd,PConc,Ex,TA,Av,GLQ,Unf,1686,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,Y,255,57,0,0,0,0,NA,0,WD,Normal,307000,12.634603026569334,VinylSd,Finished,Siding
60,RL,70.05,10382,NA,IR,Corner,NWAmes,Pos,1Fam,2.0Story,7,6,1973,1973,Gable,Stone,240.0,TA,Gd,CBlock,Gd,TA,Mn,ALQ,BLQ,1107,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,484,Y,235,204,228,0,0,0,NA,350,WD,Normal,200000,12.206072645530174,HdBoard,Finished,Other
50,RM,51.0,6120,NA,Reg,Inside,OldTown,Artery,1Fam,1.5Story,7,5,1931,1950,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,952,Gd,Y,Fuse,1022,752,0,1774,0,0,2,0,2,2,TA,8,Atype,2,TA,Detchd,Unf,2,468,Y,90,0,205,0,0,0,NA,0,WD,Abnorml,129900,11.77452020265869,Wood,Finished,Shingle
190,RL,50.0,7420,NA,Reg,Corner,BrkSide,Artery,Oth,1.5Story,5,6,1939,1950,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,GLQ,Unf,991,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,205,Y,0,4,0,0,0,0,NA,0,WD,Normal,118000,11.678439903447801,MetalSd,Unfinished,Siding
20,RL,70.0,11200,NA,Reg,Inside,Sawyer,Norm,1Fam,1.0Story,5,5,1965,1965,Hip,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,1040,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,384,Y,0,0,0,0,0,0,NA,0,WD,Normal,129500,11.771436160121729,HdBoard,Finished,Other
60,RL,85.0,11924,NA,IR,Inside,NridgHt,Norm,1Fam,2.0Story,9,5,2005,2006,Hip,Stone,286.0,Ex,Gd,PConc,Ex,TA,No,GLQ,Unf,1175,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,Attchd,Fin,3,736,Y,147,21,0,0,0,0,NA,0,Oth,Partial,345000,12.751299696013497,Wood,Finished,Shingle
20,RL,70.05,12968,NA,IR,Inside,Sawyer,Norm,1Fam,1.0Story,5,6,1962,1962,Hip,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,912,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,1,352,Y,140,0,0,0,176,0,NA,0,WD,Normal,144000,11.877568578558138,Plywood,Finished,Other
20,RL,91.0,10652,NA,IR,Inside,CollgCr,Norm,1Fam,1.0Story,7,5,2006,2007,Gable,Stone,306.0,Gd,Gd,PConc,Gd,TA,Av,Unf,Unf,1494,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,Y,160,33,0,0,0,0,NA,0,Oth,Partial,279500,12.540757571577291,VinylSd,Finished,Siding
20,RL,70.05,10920,NA,IR,Corner,NAmes,Norm,1Fam,1.0Story,6,5,1960,1960,Hip,BrkFace,212.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,1253,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Po,Attchd,RFn,1,352,Y,0,213,176,0,0,0,Fence,0,WD,Normal,157000,11.964001084330445,MetalSd,Finished,Siding
45,RM,51.0,6120,NA,Reg,Corner,BrkSide,Norm,1Fam,1.5Story,7,8,1929,2001,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,832,Ex,Y,Fuse,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,576,Y,48,112,0,0,0,0,Fence,0,WD,Normal,132000,11.790557201568507,Wood,Unfinished,Siding
20,RL,70.05,11241,NA,IR,CulDSac,NAmes,Norm,1Fam,1.0Story,6,7,1970,1970,Gable,BrkFace,180.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,1004,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,Y,0,0,0,0,0,0,NA,700,WD,Normal,149000,11.911701584927597,Wood,Finished,Siding
90,RL,72.0,10791,NA,Reg,Inside,Sawyer,Norm,Oth,1.0Story,4,5,1967,1967,Gable,None,0.0,TA,Gd,Oth,NA,NA,No,NA,NA,0,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,Unf,2,516,Y,0,0,0,0,0,0,NA,500,WD,Normal,90000,11.407564949312402,MetalSd,Finished,Siding
20,RL,66.0,13695,NA,Reg,Inside,SawyerW,NRR,1Fam,1.0Story,5,5,2004,2004,Gable,None,0.0,TA,Gd,PConc,TA,TA,No,GLQ,Unf,1114,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,Unf,2,576,Y,0,102,0,0,0,0,NA,0,WD,Normal,159000,11.976659481202368,VinylSd,Finished,Siding
20,RL,70.0,7560,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,5,6,1958,1965,Hip,None,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,Unf,1029,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Atype,0,NA,Attchd,Unf,1,294,Y,0,0,0,0,0,0,Fence,0,Oth,Abnorml,139000,11.842229212112828,Plywood,Finished,Other
60,RL,101.0,14215,NA,IR,Corner,NridgHt,Norm,1Fam,2.0Story,8,5,2005,2006,Gable,BrkFace,380.0,Gd,Gd,PConc,Ex,TA,Av,Unf,Unf,1158,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,Attchd,RFn,3,853,Y,240,154,0,0,0,0,NA,0,Oth,Partial,325300,12.692503112461443,VinylSd,Finished,Siding
